schemaname,tablename,policyname,permissive,roles,operation,using_expression,check_expression
public,reminder_logs,system_manage_reminder_logs,PERMISSIVE,{public},ALL,true,true
public,reminder_logs,users_view_reminder_logs,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,role_change_logs,admins_insert_role_change_logs,PERMISSIVE,{public},INSERT,null,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role))
public,role_change_logs,users_view_role_change_logs,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,rss_feeds,users_manage_rss_feeds,PERMISSIVE,{public},ALL,(organisation_id = get_my_org()),(organisation_id = get_my_org())
public,sales_tasks,users_manage_sales_tasks,PERMISSIVE,{public},ALL,(organisation_id = get_my_org()),(organisation_id = get_my_org())
public,sales_tasks,users_view_sales_tasks,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,saved_line_items,users_manage_saved_line_items,PERMISSIVE,{public},ALL,(organisation_id = get_my_org()),(organisation_id = get_my_org())
public,system_settings,admins_manage_settings,PERMISSIVE,{public},ALL,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role))
public,system_settings,users_view_settings,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,task_notes,users_manage_task_notes,PERMISSIVE,{public},ALL,"(task_id IN ( SELECT sales_tasks.id
   FROM sales_tasks
  WHERE (sales_tasks.organisation_id = get_my_org())))","(task_id IN ( SELECT sales_tasks.id
   FROM sales_tasks
  WHERE (sales_tasks.organisation_id = get_my_org())))"
public,team_job_participation,admins_manage_team_job_participation,PERMISSIVE,{public},ALL,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role))
public,team_job_participation,users_view_team_job_participation,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
